designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4472836013589448960,4472836013589448960,269.45994161580666,4.7824171959171125,-0.7816829190107828,0.6766489524951735,-2.5343282980518755,1.0488833,20.416296,1.083952,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013589461376,4472836013589461376,269.4617092439167,4.78464470557241,0.3027778228480684,3.96471851852136,-4.94119335832818,1.0416361,20.165735,1.5883636,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013589467392,4472836013589467392,269.4627086845906,4.7717940373595145,0.432172831004003,-0.8309441403826553,-17.82568341476895,1.0309508,18.973333,1.1805744,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4726.831,4.9235,-3.7209,1772.8861,0.0424,0.0335,0.0183
Gaia DR3 4472836013589484288,4472836013589484288,269.46480361831647,4.7833159507726135,-0.7389493371211288,-0.13935025655744115,-2.8726033416305503,0.9747749,20.02977,1.3229275,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836013589521536,4472836013589521536,269.47067621319025,4.779672869500305,,,,,20.903347,1.5277824,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836017878000896,4472836017878000896,269.46171403907647,4.7714219848159765,-1.103833067208097,-1.4734644785071909,-8.656376813494393,1.075226,20.516928,1.6926498,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836017878669568,4472836017878669568,269.45842240371735,4.773982821197544,,,,,21.151304,1.5764313,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836047939582592,4472836047939582592,269.43868338960493,4.7865274820162265,0.45297917951215183,-0.699757827635137,-6.045858407057881,1.1301887,13.596711,1.4300184,35.74952,NOT_AVAILABLE,0,true,true,false,false,false,true,true,4704.9727,2.8401,0.1733,2348.8413,0.5809,0.4447,0.2321
Gaia DR3 4472836047941655040,4472836047941655040,269.4400753722197,4.774195399718588,-0.07900701972024021,-0.9155982276272405,-1.6376505804462036,0.9735067,18.635767,1.0326481,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4976.814,4.8605,-2.0691,2010.6981,0.0034,0.0027,0.0015
Gaia DR3 4472836047941682560,4472836047941682560,269.44471950925004,4.779916043454109,0.9493757825760241,0.29808950159706143,-2.3318411920904567,0.9652165,19.856346,1.3355389,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
